psc;latitude;longitude
74601;49.938970648907606;17.886182126191102
70200;49.84091337671692;18.278312009078725
27362;50.09832950637681;14.047774202173912
33441;49.65478803973262;13.28532142566845
19016;50.07399838834182;14.657951307640067
39468;49.255072792656144;15.185549237199726
54954;50.541517064805824;16.233563115109224
73944;49.699768474882625;18.223676348435056
40007;50.66791551664876;14.07614190139635
46015;50.767482677116284;15.096646203627909
25228;49.95029152700153;14.317204742835289
35101;50.123084667598256;12.347552175720523
26401;49.658393952370204;14.41387915349887
14000;50.04949172450318;14.442475882114467
79607;49.490267155221524;17.131051786234178
78391;49.77153224035616;17.11006215144219
43001;50.4646293401846;13.401957513282305
74301;49.767686373566086;18.00770762406484
10100;50.068205122425034;14.458157866970883
34012;49.48318428299075;13.322464442548817
66447;49.15265585828618;16.492525230557803
10600;50.056905668846355;14.49857868926103
69650;49.04559248240741;17.174018701543208
41108;50.46526160562053;14.38213290899935
76341;49.09729855026738;17.714277499197863
14900;50.02408641347789;14.51689948365221
51702;50.20993750127659;16.258338967446807
25267;50.13252006009852;14.280065793267653
32300;49.77171223754917;13.370020300242057
27201;50.14046602505427;14.10746956376628
34401;49.43260626945389;12.904551019838856
58901;49.28863057671935;15.481096185177275
51301;50.619278524638865;15.344888902725538
35601;50.175084182659354;12.651703370664839
33141;49.97034000740952;13.489055650099742
71700;49.79403694635135;18.351180227702702
46008;50.74474464176672;15.021461949313894
25085;50.20402117571428;14.477461183061225
38901;49.14724006397676;14.162502414912847
67976;49.468927876623376;16.53802587056277
41201;50.5381407148234;14.145599176053459
50724;50.36825171230769;15.17053278871795
19000;50.11255825694011;14.498322914391146
79601;49.47043352238125;17.1102282434972
74718;49.977836736692915;18.192458751338584
25065;50.18823844922409;14.489001727312228
37011;49.000050999150744;14.450617993418259
78901;49.877291752908114;16.862695538295647
50743;50.459163487668164;15.18249440568012
40002;50.65147454766903;14.07822936495832
47001;50.68070072546037;14.534571456365091
66501;49.181856167127656;16.39230954191489
76701;49.28849178085162;17.390159789171893
15000;50.06841563928742;14.385636494807477
29501;50.526799666519096;14.964902413143331
55203;50.39714075144535;16.035631099909665
31800;49.74614834148936;13.321819008138297
68401;49.1390590394636;16.889414050779052
18100;50.13502915594533;14.424437192255125
41119;50.362813785114156;14.117490994520548
73601;49.781358270138554;18.434816933122313
27306;50.17506814520644;14.06113266319104
39701;49.320418969692255;14.143112398844574
73953;49.67421851008403;18.528433942296918
27715;50.26183860459184;14.55917833256803
10800;50.08388515110337;14.507973095005807
29301;50.41616432595031;14.909748151212213
74705;49.94408354386144;17.919449743606727
46822;50.64867671884606;15.238830497757622
27041;49.991648382786074;13.731516307761195
40502;50.77545424514557;14.234304831415031
35493;50.01742211178862;12.548082830894309
66401;49.25863275544389;16.684603820134
27324;50.2860608258348;14.242883954012889
66431;49.28641224563182;16.573717508658348
25263;50.1630101786526;14.383885244561688
76861;49.40046183570612;17.673274241052027
26901;50.10440492195838;13.73089032283885
69154;48.7787095797066;17.012051627628363
69002;48.75795041616522;16.888721453136156
28401;49.93933715775862;15.264518637241379
50782;50.479375409276024;15.605998817420813
56932;49.792949079432624;16.677217660638295
46362;50.87706735928237;15.196375065054601
46602;50.734140266058766;15.18653918693009
14300;49.99877408971313;14.417831435903183
59101;49.56754867644356;15.946639824855145
68705;49.11704492050473;17.428205878548898
25206;49.8855832134166;14.39170859081386
53304;50.07257533261339;15.854834189373651
46312;50.726045041144225;15.062221790441933
39445;49.53422223554217;15.16796588192771
59231;49.56609982080823;16.07534466448293
67555;49.10706681749774;16.056595190480508
40777;51.002998313765545;14.450234431083482
68801;49.02807568726869;17.644984877029362
75701;49.46454579908327;17.975533529679144
15500;50.04414560446114;14.318844806621271
47301;50.756851415547025;14.55569097315602
25207;49.8507949458815;14.39517500216763
25801;49.70329071177242;14.905512031410593
67801;49.36258092018365;16.653499630014405
25064;50.194787204831144;14.51573781468105
60200;49.19876377820259;16.602027859692438
69662;48.885941121849825;17.328635003835
68201;49.27597465446224;17.003846627881487
35301;49.96107847158685;12.68770326999061
61900;49.15657051430226;16.609758009785757
35002;50.07379371756927;12.387607047879932
76315;49.2590108718529;17.814092381612447
25210;49.87553025955122;14.287780645541462
75301;49.55991788482867;17.734045623201673
19600;50.15489842653476;14.52716765256215
15800;50.05343903007929;14.359976026263627
68708;49.09163619621873;17.336482495869692
19800;50.10060282488459;14.552434832578587
73301;49.8589124214193;18.54831372146257
18400;50.144767055187636;14.447035152980133
10000;50.07256544502533;14.494605241276595
15600;49.96684163771977;14.387896814118275
51241;50.63294530640668;15.48309736518106
57101;49.754992071543846;16.693410847283484
66904;48.88146693067485;16.03601759754601
58282;49.80453038590604;15.494722745302013
66405;49.19413199058356;16.765201902785147
33701;49.74518557572711;13.608580885116696
70800;49.832562267085116;18.169902260471527
50011;50.18819636487179;15.831636524358974
51101;50.58225847195695;15.165810533060482
27752;50.30522618358209;14.31503825095949
39901;49.47702650953717;14.341825292686835
50002;50.20228269847425;15.815983790940878
33901;49.38934667633905;13.29776379102444
79846;49.5490327;16.834656137912088
77900;49.594823811214575;17.275277126065387
79827;49.33706031675393;17.21507267469459
27351;50.08308948679427;14.1196191733372
41501;50.63453855521934;13.841795827299153
79376;50.25385609360324;17.37568380639676
26203;49.78569677367661;14.312859312319539
44001;50.35031900213841;13.806441447739783
67527;49.20551588047016;15.678250914828212
26101;49.68727833613712;14.005265394534693
30117;49.7476121;13.3726439
25241;49.95212817147963;14.45903682097927
34802;49.68840118161435;12.792897827858745
43401;50.4975377873226;13.647795469660107
79391;50.04752341196581;17.742484251851852
58291;49.67130368208812;15.410823348914432
56301;49.914675652106276;16.626805008233603
67974;49.55712868012206;16.4260209858762
68771;49.028233981041495;17.814965714686736
69123;48.97230692290218;16.52819627366713
38701;49.17134177878504;13.895992804906541
33027;49.73174559192502;13.281470737635184
67961;49.55791609125083;16.58025280372588
25245;49.92406391009055;14.414553386804657
33026;49.72361475353645;13.238054136452666
67931;49.497103034732824;16.57690481984733
67971;49.4514646495782;16.517689632706034
72100;49.81716421869565;18.197535656869565
76005;49.23632327226148;17.666316390106008
75621;49.37204075505725;17.9029694129771
16900;50.08263136260131;14.361877874488613
28601;49.888756794493965;15.385101167826337
50601;50.437458824492715;15.332334199544746
46342;50.660297000832756;15.110103168008328
74201;49.654689944849245;17.92588715477387
56401;50.08669500354548;16.485697790206334
25786;49.57258659267431;14.672985900176522
69501;48.85637274835431;17.123653920232332
39201;49.27502026342936;14.737853498067967
10200;50.05657745269726;14.535569642914654
39601;49.54538878966142;15.329260929474001
63900;49.18083464139073;16.59282796059603
73946;49.63338065802753;18.22090850332569
76302;49.205417577938626;17.598084116965836
46001;50.77930347622936;15.040191832343663
66434;49.293397499305854;16.529708993665942
25229;49.92652199331195;14.266825036188731
67902;49.4088211585395;16.648918973064646
25744;49.82264315;14.4793781752886
74101;49.58319617448083;17.98926653402556
25792;49.57832;14.53636
62700;49.17880309077778;16.681253959555555
67905;49.29296136747237;16.760626636740334
75606;49.36468964864865;18.316911346283785
66407;49.209699050039156;16.79194677666406
73945;49.6716755189951;18.22571891862745
25001;50.18840393395652;14.666526580043477
63800;49.22821962696467;16.62575149697188
76001;49.223638471729195;17.674685422618097
37701;49.14398641450501;15.008677552139977
27801;50.236695317944296;14.311679693862459
78349;49.557672439274924;17.139140575528703
54452;50.39077348988764;15.735411588764045
28912;50.1420177291939;14.96487037201992
76361;49.176380404757154;17.518428739753823
43985;50.13364153950617;13.441547486419752
59255;49.474211793963;16.107007055988316
67571;49.220025513183984;16.148839248549393
27731;50.34452667379376;14.536458531220436
78335;49.638638234741485;17.209121953278686
79802;49.469501142335766;17.044158967244528
78961;49.94295663018683;16.922937346214358
79851;49.5552230284153;16.957188154280512
29473;50.33196531648079;14.860943862825277
54932;50.46122996769006;16.18864457149123
75131;49.52792399901043;17.59261392623696
27305;50.189818805195785;14.039319754668673
25084;50.046724155154934;14.675665656
43601;50.61266751953963;13.606396702118754
59444;49.445397149624064;15.953469417575187
78701;49.97259584807325;16.9710530192129
41181;50.45443219820628;14.146032105829596
19300;50.111681026275996;14.613969467044738
38232;48.82129186267919;14.434245441769647
19900;50.13843637252298;14.513886415628193
55101;50.34853803117057;15.91982795103679
47125;50.7726324717497;14.758290214763063
53901;49.765363772618194;15.90912740823782
36004;50.24116027873832;12.877484627102804
17000;50.102413214666136;14.435763519674087
39446;49.51233702449438;15.178598784494381
27713;50.22671970093941;14.590768937388445
18000;50.11078561513481;14.473242581862745
76312;49.2201186878;17.854259411666668
50341;50.229864903180214;15.842803263427562
38101;48.80746916474791;14.312715416758522
70300;49.809711271971494;18.26369212589074
14100;50.04578080115801;14.476440636122526
28002;50.03312024019782;15.190272024727365
76321;49.08492008080065;17.88121840347222
41146;50.568915438277514;14.2918212645933
38301;49.01168348701704;14.006625959899209
76323;49.14734169773663;17.82153824053498
59453;49.32944288732277;16.195825383653045
46331;50.82656226193661;14.99862410834545
68725;48.98488507572993;17.52694277718978
78365;49.61513762462908;17.396687493916914
75501;49.334800463000214;17.99380757815108
75124;49.4806253573307;17.43619990276134
38001;49.086177800566034;15.431946421132075
73961;49.670983253849656;18.65504557670463
39111;49.351205724547945;14.705284051287672
67552;49.15364939327522;15.969086254919052
58001;49.60808089996456;15.56952785913064
46014;50.78901180779137;15.072141139793947
13000;50.085309784083044;14.465650540289792
16100;50.086500906417385;14.314004126680143
61200;49.226558464284125;16.595612436361613
37305;49.183508975;14.3836124
64200;49.178042158508916;16.529051657212317
69301;48.93846137640382;16.72528754516129
25216;50.01717754440928;14.221070144620255
74235;49.671087731070116;17.818306936752766
56992;49.626672445807586;16.367477829302736
38486;49.13410341601563;13.729313171875
51601;50.17363511212041;16.296883146989877
68601;49.06931743499733;17.45235431927389
76331;49.082498782608695;18.021569018633542
40003;50.647982884491746;14.05848098470895
37001;48.961009411183795;14.455252986339563
29405;50.419781955135136;15.053908527027026
79845;49.5317930760666;16.875531669510924
38719;49.1715642785;13.789697600799999
39003;49.41994790561224;14.647788262806124
41801;50.55085370664039;13.779098695087933
61800;49.185109176609;16.63762384283737
51251;50.53448907012658;15.367686403881857
74242;49.6085204819133;18.00100950179372
26724;49.83023929984085;14.053129501750663
46801;50.70101306934307;15.185767305596107
40010;50.686014334549355;13.990142249678112
58601;49.40238084955746;15.58518808547466
53701;49.94856582026322;15.787558862536875
34101;49.35186307254864;13.656600656420235
16000;50.104973948022014;14.380953442879257
73904;49.59109273950332;18.498315762142653
74801;49.894286451224424;18.197290835893995
41156;50.49495441467662;14.149153870398008
34561;49.54035871547464;13.073476285609015
53821;49.90116580900259;15.806838330084195
66902;48.851689766982624;16.04918026322761
46353;50.767821592862624;14.86110421772832
59401;49.35324880766346;16.012760020854394
25268;50.13255840155039;14.245311655813953
26291;49.656701636897274;14.473472646960168
46334;50.84769894801125;14.855103849819205
27101;50.15448944479126;13.887575152945766
63500;49.23306424626517;16.510917442763773
79201;49.98471627705354;17.470833104531135
76502;49.2111655650511;17.527116128
29404;50.4335915622183;15.111254556606275
74265;49.59915199202734;18.0748322929385
46365;50.93131701139756;15.232070426119401
53006;50.02464084601104;15.721582186753636
25261;50.097169837323946;14.213443872394365
29001;50.14789128121837;15.124282109779465
79501;49.94771949015933;17.272210743252106
41804;50.51825328154982;13.820937519188192
78332;49.667894400435415;17.135881511465893
29401;50.478228610932796;14.933641019307924
66603;49.33251205004897;16.46028806317336
34806;49.6680139149635;12.64288296368613
70030;49.79115197428685;18.243590673236923
78825;50.17363614586847;17.030916049578412
69142;48.74285777059702;16.756607656791047
67172;48.948872430522876;16.322585285816995
62500;49.16818842227806;16.56947994606365
29306;50.44262756504269;14.918408198945254
38601;49.26761654808177;13.914334191935033
36018;50.21318336605081;12.812546460508083
79847;49.550317109425286;16.787623202068968
39301;49.41928315387018;15.232008888707625
75122;49.51022055938628;17.52676243610108
58401;49.69609931105818;15.281531953961885
51801;50.288152826520864;16.19586671963298
37842;49.23365307538556;15.065349279765575
53002;50.01716633128032;15.78387232703504
68754;48.989918115699204;17.718794878364115
66471;49.27793880711447;16.42283787217806
43145;50.40070364742857;13.420954393714286
68304;49.30431142177828;16.898635753742262
38743;49.503431411180124;13.87598922173913
26701;49.934855960645784;14.026038803164962
25209;49.868948944449016;14.413294290460527
51741;50.11010975396127;16.216510999002345
54901;50.35148790965092;16.14676206664711
25166;49.903894293185765;14.72464629249132
37312;48.90108422873201;14.666240785476619
66601;49.34248815071727;16.418820135385534
67125;48.83649717631579;16.157816488721807
54101;50.569587870336505;15.909480778525579
16500;50.1347681165843;14.377327762932456
73913;49.5369286994895;18.286310574815655
73924;49.73178974141291;18.23110049646772
56802;49.75715770589604;16.470607443134213
14200;50.01190459023067;14.454108802740842
46352;50.69722396442432;14.921156281241915
43801;50.31239562835015;13.532573782973481
39181;49.18688019383672;14.70069254862859
34022;49.274276299190646;13.153848713399281
26256;49.600110343351396;14.236520368903708
54964;50.508457099431816;16.230025551704546
78815;50.03386151030445;17.061639035831384
39501;49.4854449801127;15.019171441934725
28506;49.85871683219738;14.923389637050164
46361;50.8942777;15.1423991
66461;49.08782808418647;16.617544202803167
27321;50.27300519942857;14.160598410857144
63400;49.18142225061125;16.558248156968215
27716;50.28417848949153;14.58647000135593
58821;49.401228155614405;15.681763629343221
59301;49.52500549732775;16.261575763845954
67906;49.34643294112304;16.763694062964493
75002;49.44452555572329;17.45354225584054
56115;50.05795854188862;16.342476639709442
46343;50.67773440506024;14.992891988578313
75101;49.4215948780157;17.285095959314777
34701;49.7975641291232;12.620624349393854
53012;50.041936148098436;15.810430574049217
56153;49.9782644230425;16.56904034250559
66404;49.225891415404874;16.753520867215272
33023;49.71952346623252;13.191319976302413
79312;49.96464069366755;17.629546976781
27204;50.140207866575345;14.068223427671233
25163;49.94468830071549;14.673282766961279
54922;50.35834256590909;16.245081946818182
29471;50.29318924595915;14.828228215941385
10900;50.04238825491924;14.557316987077826
25722;49.86078480230975;14.704164629491853
70900;49.82766169181991;18.24768691781864
38801;49.42579244334342;13.890379566666665
50723;50.37738385137712;15.206019290942796
50301;50.23141989891501;15.811963357142856
74255;49.699318719409284;18.09651789451477
62000;49.14856949432203;16.660654093601696
27203;50.15687957662624;14.140547803858876
34201;49.22368290988821;13.543583199134948
67602;49.050852348502495;15.81521924205491
77200;49.5893653;17.26973343125
35801;50.32985602657264;12.535625576699577
53501;50.01904276018455;15.56475465251196
78971;49.869836409068014;16.929100308312343
38716;49.24043375646744;13.764630046922392
41724;50.63444022257053;13.753812099686522
34901;49.757280628108425;12.98895913292084
56553;49.923100921396056;16.31773388831563
67122;48.792560025592415;16.011954015876775
75656;49.445934699815325;18.2571332877193
53401;50.072971674278904;15.992802016996425
78813;49.98140924049028;17.009636475232462
73535;49.79492825807755;18.48208604668821
69603;48.918752733789475;17.09510590705263
27342;50.175287492283466;14.199864335905513
37008;48.951716400867554;14.501357603759399
53862;49.957601497150435;15.912179107355866
75612;49.18634475891222;18.058091536187398
62800;49.206302134806236;16.69077481668242
26204;49.83441172055961;14.269011370072993
